address,description,projectName,typeOfUse,status,recentUpdate,email,phone,city,planner
2803 E Echo Hill Way,New detached 400 square foot studio ADU with one bathroom and 100 square foot attached patio cover.,Mody ADU,,Pending,08/16/2023,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
478 N Emerald Dr,Construct a new second story addition to an existing single story SFR with an attached ADU.,Salazar Residence,,Pending,04/08/2022,tchhan@cityoforange.org,(714) 744-7272,Orange,Tiffany Chhan
162 N Esplanade St,"Garage conversion, plus addition, for an ADU on a multi- family property.",Sitea ADU,,Pending,04/26/2023,cdinfo@cityoforange.org,(714) 744-7220,Orange,Ray Pascua
162 N Esplanade St,Proposed addition to existing attached garage for storage,Sitea Garage Addition,,Approved,04/26/2023,cdinfo@cityoforange.org,(714) 744-7220,Orange,Ray Pascua
240 E Everett Pl,New detached 744 SF ADU addition,Dorsey Residence ADU,,Pending,12/01/2021,tchhan@cityoforange.org,(714) 744-7272,Orange,Tiffany Chhan
1001 E Everett Pl,Convert existing recreation room attached to existing detached garage and add bedroom to create a 596 square foot ADU.,Glavas ADU,,Denied,05/22/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
510 S Fairmont Way,New 798 square foot detached ADU with two bedrooms and two bathrooms.,Frausto ADU,,Denied,06/27/2023,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
236 S Feldner Rd,"Conversion of an existing detached garage into a 467 square foot, one bedroom, one bathroom ADU.",Ly ADU,,Pending,06/30/2023,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
260 S Feldner Rd,New 689 square foot ADU with two bedrooms and one bathroom constructed on the second floor of a new 572 square foot detached garage with attached enclosed stairway.,Salgado ADU,,Pending,06/27/2023,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
661 E Fellows Dr,Applicant has requested to build an ADU,Tran ADU,,Pending,,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
814 E Ferndale Ave,,Copenhave r Addition,,Pending,,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
295 S Flower St,,Living Stone Methodist Church,,Denied,,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
300 S Flower St,,DISH Wireless,,Approved,,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
3707 W Garden Grove Blvd,,Everfence Corporatio n,,Approved,08/10/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
3707 W Garden Grove Blvd,,Everfence Corporatio n,,Approved,08/10/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
870 N Glassell St,"Preliminary application to demolish an existing 1,027 square foot 1 story landscape supplies building and construct a new 2 story, 3 attached dwelling unit multiple- family structure totaling 2,724 square feet. A General Plan Amendment and Zone Change would be required for a formal application.",Carrera Triplex,,Pending,07/13/2022,mschwartz@cityoforange.org,(714) 744-7220,Orange,Monique Schwartz
1095 N Glassell St,ABC Type 21 upgrade to general alcohol for existing convenience store,Orange Wine Inc.,,Denied,03/08/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
1190 N Glassell St,New ABC Type 21 general alcohol for proposed convenience store,Orange Liquor and More,,Pending,08/09/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
119 S Glassell St,New ABC Type 41 alcohol permit for Euro Cafe,Euro Cafe Orange Type 41,,Pending,05/18/2023,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
5230 Glen Albyn Ln,Install of additional antennas and associated equipment to an existing wireless communication facility.,Dish Wireless,,Approved,04/06/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
231 N Grand St,Addition of 140 square feet to an existing 660 square foot garage for the creation of an 800 square foot accessory dwelling unit.,Smith Residence ADU,,Pending,06/06/2022,,,Orange,
870 N Grand St,"New detached 800 square foot, 2 bedroom 2 bathroom ADU",Grand Street ADU,,Approved,08/23/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
337 S Grand St,Request to permit an existing ADU that was created without a building permit.,Leaming ADU,,Pending,06/21/2022,,,Orange,
483 E Grove Ave,Convert existing detached garage into a 525 SF ADU.,Olivares ADU,,Pending,04/21/2023,mschwartz@cityoforange.org,(714) 744-7220,Orange,Monique Schwartz
632 E Grove Ave,Proposed addition of 112 SF and new attached 746 SF ADU at rear of existing residence,Grove ADU,,Pending,03/14/2023,mschwartz@cityoforange.org,(714) 744-7220,Orange,Monique Schwartz
2900 E Hamilton Ave,New 382 sq. ft. attached ADU,Carlos Guerrero,,Pending,01/18/2022,tchhan@cityoforange.org,(714) 744-7272,Orange,Tiffany Chhan
506 N Hamlin St,New 2nd story addtion,Vasquez Residence,,Approved,06/15/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
506 N Hamlin St,Partial conversion of an attached 450 SF garage into a 372 SF ADU,Garo ADU,,Pending,01/24/2023,,,Orange,
872 S Heatherston e St,Garage expansion where the garage door exceeds eight feet in height,Keschrumr us Garage,,Approved,09/09/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
140 N Hewes St,Request to construct a duplex on existing vacant property,Hewes Duplex,,Approved,06/07/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
491 N Hewes St,"Construct 13,000 sq. ft. sports and spiritual center.",St. Verena Coptic Orthodox Church,,Pending,10/06/2021,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
555 S Hewes St,Proposal for a non-stealth wireless facility,AT&T Mobility,,Approved,04/07/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
660 N Highland St,Convert an exisitng 400 SF attached garage into an ADU,Page ADU,,Pending,12/12/2022,,,Orange,
446 E Hoover Ave,Convert an existing 520 square foot detached garage and add 315 square feet for a 835 square foot ADU with two bedrooms and two bathrooms.,Baudry ADU,,Pending,07/12/2023,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
1325 W Katella Ave,"A proposal to demolish the existing restaurant and to construct a new express car wash building with vacuum areas. The car was building is composed of three areas: 1) an east tower control office with a mezzanine, 2) a car wash tunnel and equipment room, and 3) a west tower for storage and equipment. Vacuum area will have fabric canopies with vacuum hoses",Rapids Express Car Wash (Katella),,Approved,05/02/2023,,,Orange,
1938 E Katella Ave,,American Tower,,Pending,11/15/2022,,,Orange,
114 E Katella Ave,Addition of a new drive-thru window to an existing restaurant,AO Architects,,Approved,03/09/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
720 E Katella Ave,ABC Type 47 Request for existing restaurant,Juan Del Rio Mendoza,,Approved,03/08/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
830 E Katella Ave,ABC Type 20 Request for existing service station store,Mobil Gas Station Remodel,,Pending,11/05/2018,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
1010 E. Katella Ave,A request to operate a nonreccuring temporary construction storage yard for a City CIP project.,Ramona Inc. Constructio n,,Pending,08/28/2023,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
1441 N Kennymead Rd,"new 1950 SF 4-car garage, tennis court, and sports court",Danny Duong,,Approved,,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
991 N Laurel Dr,"New 800 square foot detached ADU with two bedrooms and two bathrooms, and 84 square foot attached covered porch.",Noguera ADU,,Pending,07/28/2023,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
830 E La Veta Ave,A proposal to add 126 square feet to existing 622 square foot attached garage and convert to 748 square foot ADU for existing duplex.,Meyer ADU,,Denied,06/02/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
830 E La Veta Ave,Applicant has requested to build an ADU,Meyer ADU,,Pending,,,,Orange,
3752 E La Veta Ave,,Murrietta SFD Infill,,Denied,02/28/2023,,,Orange,
617 W La Veta Ave,HomeAid ADU project to provide shelter for families and seniors in need. City of Orange owns property,HomeAid ADU,,Pending,11/02/2022,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
625 W La Veta Ave,HomeAid ADU project to provide shelter for families and seniors in need. City of Orange owns property,HomeAid ADU,,Pending,11/02/2022,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
637 W La Veta Ave,HomeAid ADU project to provide shelter for families and seniors in need. City of Orange owns property,HomeAid ADU,,Pending,11/02/2022,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
920 W La Veta Ave,Request for a 6 foot high fence in front setback,Orange Healthcare and Wellness Center,,Approved,09/28/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
345 N Lemon St,A request to convert a residential structure to a commercial office use.,Chapman Conversion,,Denied,06/02/2023,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
168 N. Lester Drive,Convert existing one car garge and add 239 square feet for a 479 square foot detached studio ADU.,Rauscher ADU,,Pending,07/10/2023,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
1440 E Lincoln Ave,,"Del Taco Remodel, Lincoln Avenue",,Pending,,,,Orange,
1606 E Lincoln Ave,Proposed drive- through and new outdoor patio for a proposed restaurant.,Nohl Plaza LLC,,Approved,06/06/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
465 N Lincoln St,New 795 square foot detached ADU with two bedrooms and two bathrooms.,Hurtado ADU,,Denied,,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
1101 N Lincoln St,Convert existing attached garage into a 465 square foot ADU with one bedroom and one bathroom.,Villanueva ADU,,Denied,07/25/2023,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
1291 N Linda Vista St,New master bath addition,Thorne Master Bath Addition,,Pending,10/04/2022,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
1239 E Lomita Ave,Convert existing structure into 530 square foot ADU attached to existing detached garage.,Banerjee ADU,,Pending,06/28/2023,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
5212 E Lomita Ave,Construction of single family residence on hillside,Das Residence Lot 4,,Pending,07/20/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
5242 E Lomita Ave,Construction of single family residence on hillside,Das Residence Lot 1,,Pending,,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
5242 E Lomita Ave,Construction of single family residence on hillside,Das Residence Lot 1,,Pending,02/23/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
1562 N Main St,"Proposed wireless facility mounted on an SCE high- power transmission tower. Consists of one (1) panel antenna and 2 RRUs per sector, and necessary ancillary radio equipment under the tower on an enclosed 5' by 7' concrete pad.",Phoenix Club SCE Tower Wireless Facility,,Approved,02/23/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
1234 N Main St,Convert existing car wash to express car wash and construct 800-SF addition to existing convenience store,Imperial Stations,,Approved,02/23/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
363 S Main St,Proposed sign program for the new St. Joseph MOB.,St. Joseph MOB Sign Program,,Pending,09/19/2023,rabegglen@cityoforange.org,(714) 744-7252,Orange,Ryan Agbayani
137 E Maple Ave,A proposal to convert an existing building to a 12 room hotel with ancillary meeting space and amenities.,Orange Plaza Inn,,Approved,,,,Orange,
623 E Maple Ave,Remodel of an existing unit including building height increase and relocation of entry area.,Maple Ave Unit Remodel,,Pending,01/31/2023,amatsumayan@cityoforange.org,(714) 744-7239,Orange,Ani Mnatsakanyan
923 W Maple Ave,New 800 square foot detached ADU with two bedrooms and two bathrooms.,Cox ADU,,Pending,09/18/2023,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
3138 E Maple Ave,,The Knolls Homework House,,Pending,12/15/2022,,,Orange,
350 N Maplewood Street,New 714 square foot detached ADU with one bedroom and one bathroom.,Sekino ADU,,Denied,07/25/2023,cdinfo@cityoforange.org,(714) 744-7220,Orange,Amber Gregg
303 E Mayfair Ave,New detached 978 SF ADU with two bedrooms,Huber ADU,,Pending,,mschwartz@cityoforange.org,(714) 744-7220,Orange,Monique Schwartz
311 E Mayfair Ave,New 988 square foot attached ADU.,Hamilton ADU,,Denied,06/01/2023,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
340 W Meats Ave,,A & M Tree Specialist Corp,,Pending,12/22/2022,,,Orange,
2308 N MIlford St,Construction of a new detached 749 square foot ADU.,Nhu ADU,,Pending,08/16/2022,cdinfo@cityoforange.org,(714) 744-7220,Orange,Ray Pascua
455 N Noble St,Construciton of a new detached 642 square foot ADU,Beardon ADU,,Approved,08/26/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
6807 N Oak Ln,"Construct a 1,177 sf, two story accessory building consisting of 450 sf - 2 offices and 2 bathrooms and a 727 sf garage",Pop Accessory Building,,Pending,09/12/2022,vmarquez@cityoforange.org,(714) 744-7241,Orange,Vidal F. Márquez
230 S Oak Ln,Preliminary review of a proposed multifamily and ADU development ona vacant lot.,Multifamily and ADU Prelim,,Pending,12/12/2022,mschwartz@cityoforange.org,(714) 744-7220,Orange,Monique Schwartz
